ROI,FA_mean,MD_mean,RD_mean,AD_mean
Precentral_L,0.7446395137075061,0.00024439228360047114,8.51027949367885e-05,0.0005629712609278364
Precentral_R,0.7262486422336497,0.00023575088973198024,8.574906504328499e-05,0.0005357545391093708
Frontal_Sup_L,0.6446628790935928,0.0005177836326980911,0.00035184444266717085,0.0008496620127599315
Frontal_Sup_R,0.6112954413050722,0.0005394765939624917,0.0003754230281661816,0.000867583725555112
Frontal_Sup_Orb_L,0.2073149193192741,0.0016884654942860727,0.001558913079057778,0.001947570324742662
Frontal_Sup_Orb_R,0.28793060890809313,0.0013155723178468978,0.0011599538330845163,0.0016268092873716606
Frontal_Mid_L,0.6079061669263164,0.0006013880180228845,0.00043132173811946694,0.0009415205778297195
Frontal_Mid_R,0.6422290404789469,0.0004821284888238236,0.00031761402864238824,0.0008111574091866941
Frontal_Mid_Orb_L,0.1978822735734821,0.0016728809387939394,0.0015385564695611952,0.001941529877259428
Frontal_Mid_Orb_R,0.22972144895715194,0.001409165157762277,0.001276765801395603,0.001673963870495624
Frontal_Inf_Oper_L,0.6591821982058577,0.00042681674844885704,0.00027367858274518974,0.0007330930798561915
Frontal_Inf_Oper_R,0.6245846043487127,0.0005346896528107692,0.00037714428553031835,0.0008497803873716712
Frontal_Inf_Tri_L,0.5141470297123634,0.0008562758929593632,0.0006977348000653505,0.0011733580787473884
Frontal_Inf_Tri_R,0.5973422535964825,0.0006475178718980351,0.00048730072451586644,0.0009679521666623725
Frontal_Inf_Orb_L,0.20858223416128535,0.0016087786476337677,0.001483609055772735,0.0018591178313558335
Frontal_Inf_Orb_R,0.2307750868554322,0.0014244068099579156,0.0012993434252411304,0.0016745335793914864
Rolandic_Oper_L,0.645560436643732,0.0004337441516402143,0.0002732140319229151,0.0007548043910748127
Rolandic_Oper_R,0.6300467602774773,0.0005074969314118184,0.0003486075047768288,0.0008252757846817973
Olfactory_L,0.2287857133879076,0.001836514388719522,0.0016745497048724356,0.0021604437564136953
Olfactory_R,0.20395240157489924,0.0022617563335611316,0.0020624191692283672,0.002660430662226661
Frontal_Sup_Medial_L,0.6045595215928686,0.0006019378426367564,0.00043803614203551344,0.0009297412438392421
Frontal_Sup_Medial_R,0.6265126911444583,0.000578836942761524,0.00041812543875544293,0.0009002599507736858
Frontal_Med_Orb_L,0.21922874008116244,0.001347428210846776,0.0012347882805375078,0.001572708071465312
Frontal_Med_Orb_R,0.14137626258129948,0.0020344582800531194,0.0019158413533848112,0.0022716921333897355
Rectus_L,0.25925666850062434,0.001515568712978437,0.0013534630462010819,0.001839780046533147
Rectus_R,0.2072050749115666,0.0017284918917632123,0.0015741891165881967,0.0020370974421132443
Insula_L,0.24718760637170886,0.0016117500806398278,0.0014759144252478366,0.0018834213914238102
Insula_R,0.2015024614824921,0.0015618254835368898,0.0014458008099361606,0.0017938748307383481
Cingulum_Ant_L,0.25622989183185574,0.001514215192892644,0.001371410582200801,0.0017998244142763305
Cingulum_Ant_R,0.3353952101076656,0.0013729976789220075,0.0012268620063860627,0.0016652690239938976
Cingulum_Mid_L,0.6231011807928022,0.0004297591438063696,0.00027865367108601365,0.0007319700892470816
Cingulum_Mid_R,0.5613880478745138,0.0006517157230957596,0.00048342225700782025,0.000988302655271638
Cingulum_Post_L,0.11865073303159919,0.003110405767555676,0.002932464579912911,0.0034662881428412047
Cingulum_Post_R,0.28765287020579755,0.0014201335178776037,0.0012814601921471926,0.0016974801693384258
Hippocampus_L,0.26365993665364146,0.001568629352488072,0.0014129283016899195,0.0018800314540843772
Hippocampus_R,0.30377154118975797,0.0012261564234716219,0.001070762313981845,0.0015369446424511757
ParaHippocampal_L,0.3096995794073409,0.001582137053212071,0.001411044211082794,0.0019243227374706247
ParaHippocampal_R,0.2800763932592299,0.0015275889299559962,0.0013687890702050447,0.0018451886494578991
Amygdala_L,0.3833807421896183,0.0014039357461561994,0.0011696924991368425,0.001872422240194914
Amygdala_R,0.33213935217764506,0.0011559218722532992,0.0009695504694377244,0.001528664677884449
Calcarine_L,0.12295957346966332,0.0031577286611247125,0.0029616213556859844,0.003549943272002168
Calcarine_R,0.13689633786420088,0.0017444289842510356,0.0016208765404545104,0.0019915338718440863
Lingual_L,0.33750732377533715,0.0014107158525013513,0.0012708722780031055,0.001690403001497843
Lingual_R,0.26345707979133715,0.0016595719919222092,0.0015329869318877949,0.0019127421119910382
Occipital_Inf_L,0.6822372470862195,0.0003831620827442944,0.0002100771859785307,0.0007293318762758218
Occipital_Inf_R,0.6173890491818458,0.0004700852062699713,0.00029306528825152114,0.0008241250423068716
Fusiform_L,0.3533456422375588,0.0011835427194612101,0.0010208321357345106,0.0015089638869146093
Fusiform_R,0.31106814034236796,0.0011513629352790796,0.0010132371088233416,0.0014276145881905557
Postcentral_L,0.7264117188999833,0.000257620636994829,0.00010249840790910697,0.0005678650951662732
Postcentral_R,0.7513007293437369,0.00026236243309321443,9.697394221078125e-05,0.0005931394148580806
SupraMarginal_L,0.9368422567111633,0.00021800035185190437,4.385382438509214e-05,0.0005662934067855288
Precuneus_L,0.2706650987578186,0.0018556618258779808,0.0016927489525490236,0.002181487572535895
Precuneus_R,0.2505031500746335,0.00205254233406023,0.0018690304770007415,0.002419566048179205
Caudate_L,0.2605704396488034,0.0014189405216087922,0.001286808447064495,0.0016832046706973872
Caudate_R,0.2125098555006962,0.0016190623609052758,0.0015051082395158637,0.0018469706036840997
Putamen_L,0.20312902359579685,0.0016021771485042072,0.0014872749347134603,0.0018319815760857005
Putamen_R,0.21230437644899472,0.0013963057463542692,0.0012907034065441133,0.0016075104259745808
Pallidum_L,0.2524944106299741,0.0011277597942631564,0.0010044425414296146,0.0013743942999302399
Pallidum_R,0.2990946564643252,0.0010490236649105646,0.0009159110917638679,0.0013152488112039582
Thalamus_L,0.17635773399144836,0.0019113760191445985,0.001804802464080383,0.00212452312927303
Thalamus_R,0.16158283569798532,0.0019282004577157172,0.0018214010006372319,0.0021417993718726887
Heschl_L,0.600560909428659,0.0006107061342883384,0.0004419993149071088,0.0009481197730507982
Heschl_R,0.43975158851642215,0.0008586711831489562,0.0007035970309695183,0.0011688194875078318
Temporal_Sup_L,0.5111747890226104,0.0009998519806840675,0.0008430853373151674,0.0013133852674218683
Temporal_Sup_R,0.5140606674244372,0.0008548048445592137,0.0007041224984318328,0.0011561695368139755
Temporal_Pole_Sup_L,0.2402380145746591,0.0016022983095778103,0.0014662028014341812,0.001874489325865068
Temporal_Pole_Sup_R,0.26028890375902747,0.0013568450025926524,0.0012239797728869572,0.0016225754620040433
Temporal_Mid_L,0.5184292883527106,0.0008182531208624589,0.0006547255261797477,0.0011453083102278818
Temporal_Mid_R,0.454215996521194,0.0009225935144709222,0.000775247673695678,0.0012172851960214103
Temporal_Pole_Mid_L,0.2522795540846408,0.0012937184300577166,0.0011759326325816537,0.0015292900250098423
Temporal_Pole_Mid_R,0.22794395644718543,0.0013867731109658249,0.0012657831908354893,0.0016287529512264965
Temporal_Inf_L,0.30652005492185636,0.001335615013058622,0.0011980949363703834,0.0016106551664350995
Temporal_Inf_R,0.3262385682422331,0.0011563368512718857,0.0010169215005195263,0.0014351675527766038
Cerebelum_Crus1_L,0.371735080837277,0.0013010983383304915,0.0011349310090111868,0.001633432996969101
Cerebelum_Crus1_R,0.3166748322874777,0.0012914150930578689,0.0011367618813532458,0.0016007215164671152
Cerebelum_Crus2_L,0.30521087315847917,0.0015543469931809,0.0013690153389346485,0.0019250103016734041
Cerebelum_Crus2_R,0.25689943249838715,0.0014930539664478667,0.0013235083078795547,0.0018321452835844902
Cerebelum_3_L,0.3914751008528556,0.0007793995387680065,0.0006261198766556275,0.0010859588629927646
Cerebelum_3_R,0.2531241139711255,0.0010064905093422625,0.0009003696220957042,0.0012187322838353787
Cerebelum_4_5_L,0.2395716578846928,0.0015802699418811805,0.00145009887392348,0.0018406120777965818
Cerebelum_4_5_R,0.27717546125106096,0.0012868802305942481,0.0011485850433204806,0.0015634706051417826
Cerebelum_6_L,0.27214335485402413,0.0015313500565568253,0.0013756487228606742,0.0018427527239491277
Cerebelum_6_R,0.2589083206917608,0.0015053875453494652,0.0013640315385212516,0.0017880995590058928
Cerebelum_7b_L,0.20111885797133663,0.0018646300985457154,0.001703020380102693,0.00218784953543176
Cerebelum_7b_R,0.21585482957243268,0.0017505338025956428,0.0015741457267986895,0.0021033099541895497
Cerebelum_8_L,0.25365878135514847,0.0013702938738247327,0.0012382356593258943,0.0016344103028224097
Cerebelum_8_R,0.21761091156356596,0.0013366649246248968,0.0012206096273031006,0.0015687755192684894
Cerebelum_9_L,0.24941394250654583,0.0013171595030750528,0.0011870921333294304,0.0015772942425662981
Cerebelum_9_R,0.24760475121526238,0.0011733374887852783,0.0010567898706736315,0.0014064327250085712
Cerebelum_10_L,0.46461257374077647,0.0014236457226059888,0.0011398080466652055,0.0019913210744875553
Cerebelum_10_R,0.479888593860412,0.0008016862410950209,0.0005748593117508456,0.0012553400997833719
Vermis_1_2,0.09267204186398971,0.001889114750277238,0.0018240913629335095,0.002019161524964695
Vermis_3,0.13130861144828007,0.0018272580484282187,0.001745442089361065,0.0019908899665625245
Vermis_4_5,0.19031281926783558,0.0017272429135276517,0.0016022370294395936,0.0019772546817037676
Vermis_6,0.33051139112023914,0.0012866688863856517,0.0011146204847892593,0.0016307656895784362
Vermis_7,0.4082285569647554,0.0012312785202114012,0.0010331833610813812,0.0016274688384714411
Vermis_8,0.13657002498889045,0.002053296473785287,0.0019258408037757303,0.0023082078138044007
Vermis_9,0.10177992354342257,0.0018884388516669764,0.0018325539129328626,0.0020002087291352048
Vermis_10,0.08696321858418526,0.0019128465924918487,0.0018593783783811132,0.0020197830207133198
